82.3629,75.7402, 69.2827,75.9517, 76.8776,91.0876, 14.0084,92.9003, 32.6582,98.4592,
67.6524,70.5788, 53.1080,83.4889, 80.9897,91.5978, 3.3796,99.7866, 11.5269,100.0000,
77.9240,67.8265, 65.6433,67.6909, 90.3509,89.2454, 8.3333,90.8269, 0.0000,96.2494,
98.0328,61.8231, 66.2295,64.7059, 66.2295,52.2400, 25.2459,81.3011, 0.0000,97.4289,
72.4427,69.9954, 79.6947,76.0390, 61.6031,82.1130, 5.4198,97.5186, 57.9389,94.1848,
75.2788,69.7977, 78.6989,73.8816, 75.7993,59.8849, 39.7026,82.6434, 50.3346,93.9391,
71.4528,63.2595, 68.8791,66.9706, 63.0545,59.8664, 84.1856,50.4082, 32.3061,95.5784,
84.2899,64.9629, 71.5467,68.4584, 64.3482,89.5301, 32.9280,87.0404, 30.7393,87.0899,
25.1656,83.2055, 63.1347,80.6748, 51.8764,97.3160, 52.3179,81.8252, 0.0000,100.0000,
28.0528,78.8076, 79.3729,66.0321, 65.8416,95.2405, 17.3267,81.9639, 45.3795,78.7074,
93.5268,60.4111, 89.7321,57.1618, 94.1964,91.1141, 2.9018,98.9390, 52.4554,79.5756,
15.1067,89.4986, 88.5057,80.3523, 80.6240,91.6667, 58.9491,85.9756, 60.4269,80.6911,
