1.7132,1.82982,1.83424,1.80804,1.84955,153.662,1.90576
1.80723,1.92583,1.93263,1.92377,1.94604,159.819,2.0219
1.51075,1.5896,1.59426,1.58652,1.5964,129.252,1.6296
1.9139,2.02822,2.03828,2.0147,2.05615,188.814,2.13235
1.48128,1.57101,1.58708,1.55722,1.58931,117.798,1.63638
1.46579,1.55286,1.54892,1.5352,1.57632,145.764,1.62612
1.3427,1.38068,1.37457,1.36813,1.38247,167.044,1.41178
1.61714,1.78127,1.74846,1.71351,1.8179,164.375,1.80081
1.51596,1.60953,1.62325,1.59274,1.62329,132.07,1.6693
1.7794,1.93187,1.96392,1.92621,1.95447,130.031,2.0532
1.54157,1.62131,1.60665,1.59723,1.62669,157.861,1.64185
1.85883,2.03526,2.04918,2.00752,2.06479,160.378,2.16274
1.68927,1.69668,1.64658,1.66181,1.69484,104.205,1.74706
