1.27099,1.28291,1.28611,1.28977,1.28546,83.3467,1.30935
1.31534,1.33075,1.33545,1.33625,1.33486,90.7392,1.36521
1.7157,1.73159,1.73364,1.73755,1.73597,144.132,1.80437
1.77392,1.79607,1.79597,1.80034,1.79965,153.191,1.87185
1.58792,1.55454,1.5642,1.53512,1.55422,113.437,1.61137
1.31461,1.32499,1.33076,1.33472,1.32914,80.0034,1.36353
1.57454,1.60079,1.60497,1.61352,1.60595,122.491,1.66884
1.74948,1.77248,1.77165,1.77251,1.77668,148.668,1.85308
1.79114,1.80748,1.80635,1.80793,1.81078,146.371,1.89718
2.99536,3.05653,3.04707,3.02899,3.06576,261.831,3.25921
1.64857,1.66206,1.66186,1.66271,1.66598,129.585,1.73188
1.5194,1.53387,1.53865,1.54112,1.54025,110.503,1.61135
1.53329,1.53614,1.53971,1.54036,1.53804,145.698,1.58507
2.67806,2.70779,2.74412,2.74395,2.72018,232.319,2.99427
