PETS1,,,,,,,
frame,coneR1*,HSV,HSP,HSI,HSL,Y',Norm
301,0.791,0.726963,0.670067,0.728507,0.730477,0.732386,0.667713
311,0.806,0.696195,0.657721,0.695983,0.698024,0.700302,0.655668
321,0.84,0.743008,0.686395,0.750246,0.750851,0.75345,0.68412
331,0.826,0.720194,0.677169,0.733667,0.735005,0.736392,0.675039
341,0.748,0.661988,0.650281,0.681234,0.679735,0.685606,0.647616
351,0.777,0.677726,0.681405,0.695715,0.694477,0.700136,0.677038
361,0.743,0.651302,0.680795,0.672751,0.670988,0.678193,0.675047
371,0.779,0.645065,0.676649,0.668199,0.667787,0.671712,0.672322
381,0.793,0.68065,0.705396,0.704776,0.703733,0.709552,0.700053
391,0.753,0.674163,0.697986,0.695683,0.693971,0.699354,0.6938
401,0.692,0.682039,0.710748,0.707334,0.706518,0.711642,0.705753
411,0.769,0.686496,0.722346,0.714406,0.714018,0.717046,0.718539
421,0.759,0.623448,0.660433,0.64931,0.648664,0.651563,0.657457
1061,0.711,0.645685,0.677319,0.660014,0.657897,0.664572,0.672799
1071,0.789,0.721028,0.730609,0.736915,0.738155,0.740237,0.726468
1081,0.748,0.684607,0.692528,0.695751,0.697153,0.697636,0.691383
1091,0.798,0.723593,0.719036,0.735943,0.735519,0.736067,0.719652
1101,0.848,0.749051,0.760196,0.756374,0.755928,0.758414,0.757828
1111,0.784,0.701238,0.714186,0.70159,0.704586,0.70423,0.71111
1121,0.79,0.732605,0.751087,0.735162,0.738109,0.739761,0.745956
1131,0.858,0.725387,0.747554,0.72568,0.727809,0.728929,0.744497
1141,0.85,0.740377,0.756675,0.742266,0.745277,0.747197,0.752083
1151,0.883,0.778965,0.78652,0.78157,0.783854,0.785366,0.782576
,,0.5645999518,0.3715622333,0.4071502522,0.3954402236,0.4594624596,0.3611939942
aton_hallway,,,,,,,
frame,coneR1*,HSV,HSP,HSI,HSL,Y',Norm
25,0.627,0.646397,0.655087,0.668397,0.671994,0.667833,0.654989
151,0.712,0.629167,0.618612,0.659376,0.659967,0.660069,0.616573
164,0.81,0.701,0.712757,0.733323,0.733552,0.733499,0.710531
175,0.516,0.602688,0.560635,0.626899,0.628403,0.625788,0.55993
194,0.758,0.706773,0.681302,0.734653,0.739459,0.734311,0.677858
251,0.833,0.775773,0.580114,0.795284,0.797511,0.79217,0.573604
275,0.747,0.788302,0.612082,0.81094,0.811873,0.809116,0.610828
431,0.702,0.662741,0.626943,0.694104,0.69804,0.684179,0.629666
451,0.769,0.680257,0.670685,0.716559,0.721495,0.717303,0.667485
600,0.666,0.54601,0.627992,0.609955,0.617552,0.613729,0.62304
621,0.707,0.670482,0.661953,0.696174,0.697959,0.691571,0.664269
1101,0.743,0.677387,0.650786,0.702671,0.702064,0.700134,0.646851
1151,0.731,0.694252,0.701032,0.745529,0.73646,0.735376,0.694938
,,0.6897315501,0.4291871503,0.7461485549,0.7539042742,0.7563870311,0.4042302237
aton_lab,,,,,,,
frame,coneR1*,HSV,HSP,HSI,HSL,Y',Norm
91,0.84,0.84813,0.864707,0.85937,0.858197,0.859544,0.864154
101,0.908,0.842262,0.855129,0.856007,0.856837,0.856362,0.854287
151,0.667,0.760642,0.775603,0.763351,0.762116,0.763193,0.775478
