-nan 80.9150 -nan 78.7893 -nan 13.5860 -nan 80.7301 -nan 100.0000
99.8554 43.1989 83.5864 63.7572 5.7122 100.0000 68.5466 94.2401 94.5770 100.0000
94.4896 48.8796 81.3805 63.7255 89.2111 16.1998 48.8979 91.7367 97.2158 99.9533
96.9898 48.1811 83.8867 66.0991 12.0850 100.0000 71.5803 94.9690 96.5914 99.9613
95.1957 51.7376 81.9098 66.5508 2.3725 100.0000 58.2444 91.6160 92.7046 100.0000
95.0470 39.3322 82.7586 55.3339 5.7053 100.0000 62.2571 95.0564 98.0564 99.6964
97.6581 46.0815 80.0937 59.8746 23.0679 86.7891 64.4614 94.8500 96.9555 99.9552
93.2118 42.2668 84.1945 57.2831 14.8936 100.0000 64.3870 93.7398 95.0355 100.0000
96.2564 40.1793 86.9231 63.7734 90.4615 19.0302 61.5897 93.0725 95.2821 99.4703
92.0000 48.2177 85.0000 70.7167 93.8261 20.6209 57.4783 93.2541 97.6957 99.8467
95.2033 46.9766 86.9347 63.0549 12.9283 96.5047 46.3682 94.5124 99.8630 99.6155
92.1979 45.6522 84.4910 65.3177 62.9876 100.0000 51.0466 90.1338 96.1941 100.0000
92.6816 47.5225 83.3868 62.6126 17.5748 100.0000 48.5043 91.4093 98.0235 99.8391
91.6451 42.6822 84.8446 57.8077 92.9404 27.3729 42.7461 95.8665 97.0207 99.0202
93.4366 35.6843 87.9794 55.6723 78.6136 99.8199 38.6431 98.1393 0.0000 100.0000
94.3515 39.9486 82.6360 61.3935 41.1088 100.0000 47.4895 96.8304 0.0000 100.0000
97.0458 36.5508 79.4682 52.3797 10.7829 95.0267 64.2541 96.5508 97.0458 99.4118
96.8254 50.4643 66.0494 65.0853 73.6332 55.4449 14.4621 85.3621 64.5503 100.0000
99.1087 48.4972 74.4207 58.7553 69.5187 35.5766 41.2656 81.1663 88.4135 99.9510
98.5282 51.4195 82.8291 61.3238 91.9052 17.5917 65.9853 95.3589 95.8299 99.4737
97.1973 47.9260 75.2242 56.6383 27.4664 64.7176 31.6143 92.1039 0.0000 100.0000
99.1561 43.5425 80.1688 59.6346 0.0000 58.3797 49.7890 96.3463 0.0000 100.0000
97.8495 43.4247 71.6846 60.9859 0.3584 44.9003 89.6057 93.9355 0.0000 100.0000
96.7078 40.7206 71.5021 55.0615 48.3539 45.8348 84.5679 94.9912 0.0000 100.0000
84.6240 46.9219 60.3816 56.8706 69.9214 63.1916 97.1942 92.4514 0.0000 100.0000
