196,0.657343,0.407855,0.212851,0.0754717
170,0.700176,0.413793,0.257642,0.141414
197,0.639194,0.351974,0.1893,0.0837209
199,0.66041,0.383901,0.213439,0.131004
195,0.663793,0.392523,0.216867,0.117647
182,0.653333,0.35,0.153488,0.0808081
172,0.699825,0.396491,0.196262,0.0851064
178,0.663516,0.377622,0.261411,0.183486
193,0.637218,0.367213,0.218623,0.106481
248,0.596091,0.301408,0.197411,0.0981818
305,0.544096,0.27896,0.166667,0.0840841
289,0.555385,0.279302,0.17192,0.0883281
235,0.581105,0.31686,0.211409,0.123134
246,0.597381,0.280702,0.12766,0.0646388
