611,0.430037,0.389,0.296083,0.208549
662,0.411556,0.364683,0.270925,0.195626
736,0.403082,0.362771,0.274877,0.184035
622,0.449558,0.413208,0.318729,0.215637
669,0.408488,0.37242,0.288298,0.213866
633,0.421389,0.383041,0.294314,0.201765
610,0.416826,0.380081,0.292343,0.210867
592,0.423564,0.390947,0.309218,0.220026
630,0.426752,0.385965,0.311475,0.235437
596,0.448148,0.413963,0.32041,0.215789
635,0.413124,0.373149,0.282486,0.202261
586,0.43272,0.394628,0.320973,0.226913
625,0.427656,0.389052,0.312431,0.216792
