0.550488,0.517086,0.532395,0.52344,0.545699,261.538,0.507166
0.545891,0.51391,0.524791,0.533473,0.530579,245.706,0.512611
0.406214,0.42359,0.382569,0.377319,0.390897,361.441,0.417801
0.423417,0.387866,0.368514,0.380135,0.37384,321.048,0.388261
0.61557,0.571162,0.557924,0.554753,0.560119,200.24,0.570725
0.549786,0.522874,0.520345,0.519467,0.523652,258.656,0.521143
0.524642,0.496052,0.50416,0.503886,0.504873,243.636,0.496741
0.52035,0.505813,0.494127,0.493335,0.493391,235.23,0.507594
0.735168,0.692074,0.692353,0.684992,0.686636,149.081,0.699632
0.662269,0.637686,0.630565,0.619292,0.641523,164.492,0.629314
0.479113,0.49181,0.45992,0.460415,0.470198,245.486,0.492226
0.621859,0.547433,0.551833,0.54483,0.55051,201.805,0.554472
