79.9183,76.9398, 24.1681,97.3956, 26.3865,95.1167, 91.4769,68.6923, 83.8879,96.1476,
93.7595,85.9546, 34.5688,99.2863, 71.2935,24.6750, 99.8109,83.3546, 93.2300,99.6941,
94.2697,73.4476, 22.3930,99.2838, 35.7453,73.2952, 96.4688,46.9257, 96.2954,86.1943,
80.1485,78.5135, 13.8420,98.2770, 58.1364,23.8514, 75.0169,81.1486, 68.3322,99.9324,
95.9436,81.7539, 43.2883,99.1648, 61.2777,94.4427, 99.0398,64.6161, 98.2951,98.3296,
79.7990,80.1032, 23.5176,99.7052, 7.6382,100.0000, 77.3869,96.8312, 74.9749,99.1157,
84.1121,88.8078, 9.6573,99.5134, 42.9907,66.6667, 48.2866,97.0803, 91.5888,100.0000,
98.2749,77.1237, 41.7251,99.1803, 61.3477,47.9136, 99.2453,75.2981, 99.4070,99.0313,
97.2427,91.3690, 45.6396,99.8103, 36.1494,84.9036, 99.2946,58.7733, 97.9320,99.3361,
36.5385,91.6890, 5.7692,99.1957, 68.2692,24.1287, 53.8462,94.9062, 0.0000,100.0000,
98.9309,75.8829, 38.2812,98.3204, 23.4786,92.4849, 96.9984,72.3084, 97.8207,93.1740,
94.8959,88.4066, 41.3183,99.8392, 76.1077,97.4812, 98.4187,80.0286, 97.6358,99.9107,
93.6965,57.5575, 14.0078,99.8905, 66.7315,93.4830, 98.2879,46.4403, 97.3930,86.2541,
