92.1606 28.9014 69.7897 60.0499 3.3270 100.0000 94.9140 84.2072 84.8566 99.9376
96.3592 34.2003 71.6019 58.5826 90.4126 19.2458 91.5049 92.9779 0.0000 100.0000
89.1026 45.6471 59.2949 80.7059 90.7051 24.5882 94.8718 94.4706 92.6282 100.0000
99.4388 50.4032 81.7059 82.8629 10.2132 100.0000 100.0000 91.8347 100.0000 97.7823
99.9392 55.9043 73.0863 85.3513 3.7060 100.0000 97.0231 96.7115 95.3220 96.4873
100.0000 59.9569 86.5672 87.8902 22.6076 74.8654 74.0123 93.7029 96.6637 99.6233
97.7828 58.5090 82.7442 83.0601 64.4280 65.9251 96.8509 90.4762 91.0668 97.1897
71.5341 66.4755 61.2640 77.3444 20.4383 82.5925 78.6188 74.5340 73.0632 97.1035
98.4425 56.3559 81.5402 63.1659 32.0450 64.1344 92.5584 75.4540 95.4716 85.1695
98.2279 56.8860 80.8200 57.4650 58.7561 87.7514 95.7609 67.8854 91.2092 87.7209
96.3631 67.6488 79.7596 78.0680 59.0765 45.7776 99.3042 62.6063 92.7261 93.8335
87.4140 70.4605 68.6766 71.9955 28.8142 80.4942 88.4257 61.5874 83.6099 99.5882
94.7961 68.6581 74.6367 71.0597 8.6732 99.9700 96.5776 71.1498 93.4365 99.1894
90.4897 69.1986 72.3804 69.3182 16.1162 76.2261 79.6697 80.9809 90.3189 96.5909
97.7964 69.8025 80.6925 71.6736 24.3966 97.3753 90.1889 72.3493 93.7041 99.0385
95.0506 74.6544 81.3836 73.5791 23.3408 95.0589 89.7638 77.8034 93.9820 99.3344
98.6650 66.5252 72.3908 67.3210 56.4927 99.9735 52.0631 83.0504 96.1165 96.7109
98.8264 55.6606 81.1612 59.0229 30.8215 96.2175 80.3582 76.9635 92.5880 96.8742
87.6688 54.3460 69.2169 53.5685 22.3222 100.0000 83.1683 77.0897 81.6382 97.1119
86.0996 68.1625 75.0000 59.4999 30.9129 77.7629 76.2448 83.7687 80.3942 95.2445
86.2134 56.7350 68.3664 50.8645 82.3418 78.7495 97.1671 49.1757 83.7583 80.2975
93.9785 45.7507 51.1828 78.8952 47.5269 64.8725 86.2366 75.0708 67.3118 100.0000
